epoch,precision,recall,f_measure,accuracy
1,0.56,1.0,0.717948717948718,0.56
2,0.56,1.0,0.717948717948718,0.56
3,0.56,1.0,0.717948717948718,0.56
4,0.56,1.0,0.717948717948718,0.56
5,0.5765765765765766,1.0,0.7314285714285714,0.58875
6,0.6462882096069869,0.9910714285714286,0.7823788546255507,0.69125
7,0.7067424857839155,0.9709821428571429,0.8180535966149507,0.758125
8,0.7402135231316725,0.9285714285714286,0.8237623762376237,0.7775
9,0.7696850393700787,0.8727678571428571,0.817991631799163,0.7825
10,0.7758964143426295,0.8694196428571429,0.8200000000000001,0.78625
11,0.7855670103092783,0.8504464285714286,0.8167202572347266,0.78625
12,0.7863070539419087,0.8459821428571429,0.8150537634408602,0.785
13,0.7888655462184874,0.8381696428571429,0.8127705627705628,0.78375
14,0.7861570247933884,0.8493303571428571,0.8165236051502145,0.78625
15,0.791578947368421,0.8392857142857143,0.8147345612134345,0.78625
16,0.7910135841170324,0.8448660714285714,0.8170534268753373,0.788125
17,0.7933618843683083,0.8270089285714286,0.8098360655737705,0.7825
18,0.7947368421052632,0.8426339285714286,0.8179848320693391,0.79
19,0.7933618843683083,0.8270089285714286,0.8098360655737705,0.7825
20,0.7944915254237288,0.8370535714285714,0.8152173913043478,0.7875
21,0.7965921192758253,0.8348214285714286,0.815258855585831,0.788125
22,0.7863157894736842,0.8337053571428571,0.80931744312026,0.78
23,0.7965738758029979,0.8303571428571429,0.8131147540983605,0.78625
24,0.7924130663856691,0.8392857142857143,0.8151761517615176,0.786875
25,0.7925925925925926,0.8359375,0.8136882129277566,0.785625
26,0.8014783526927138,0.8470982142857143,0.8236570808464462,0.796875
27,0.7993562231759657,0.8314732142857143,0.8150984682713348,0.78875
28,0.7970244420828906,0.8370535714285714,0.8165487207403376,0.789375
29,0.7961165048543689,0.8236607142857143,0.8096544157981349,0.783125
30,0.7909663865546218,0.8404017857142857,0.814935064935065,0.78625
31,0.7991452991452992,0.8348214285714286,0.8165938864628821,0.79
32,0.7969924812030075,0.828125,0.8122605363984673,0.785625
33,0.7946808510638298,0.8337053571428571,0.8137254901960784,0.78625
34,0.7976694915254238,0.8404017857142857,0.8184782608695652,0.79125
35,0.7984994640943194,0.8314732142857143,0.8146528157463094,0.788125
36,0.8002125398512221,0.8404017857142857,0.8198149156232989,0.793125
37,0.7982832618025751,0.8303571428571429,0.8140043763676149,0.7875
38,0.8041125541125541,0.8292410714285714,0.8164835164835164,0.79125
39,0.80042689434365,0.8370535714285714,0.8183306055646482,0.791875
40,0.7968085106382978,0.8359375,0.8159041394335511,0.78875
41,0.8032432432432433,0.8292410714285714,0.8160351455244371,0.790625
42,0.8060671722643553,0.8303571428571429,0.8180318856514569,0.793125
43,0.7959183673469388,0.8270089285714286,0.8111658456486043,0.784375
44,0.8053763440860215,0.8359375,0.8203723986856518,0.795
45,0.7884210526315789,0.8359375,0.8114842903575298,0.7825
46,0.7944915254237288,0.8370535714285714,0.8152173913043478,0.7875
47,0.7978723404255319,0.8370535714285714,0.8169934640522876,0.79
48,0.7978494623655914,0.828125,0.8127053669222345,0.78625
49,0.7917547568710359,0.8359375,0.8132464712269273,0.785
50,0.8055853920515574,0.8370535714285714,0.8210180623973727,0.795625
51,0.8071120689655172,0.8359375,0.8212719298245614,0.79625
52,0.798941798941799,0.8426339285714286,0.8202064095600219,0.793125
53,0.8054054054054054,0.8314732142857143,0.8182317408017573,0.793125
54,0.7966101694915254,0.8392857142857143,0.8173913043478261,0.79
55,0.8010695187165775,0.8359375,0.8181321682140906,0.791875
56,0.8015102481121898,0.8292410714285714,0.8151398793198025,0.789375
57,0.7983014861995754,0.8392857142857143,0.8182807399347117,0.79125
58,0.7961783439490446,0.8370535714285714,0.8161044613710555,0.78875
59,0.8094713656387665,0.8203125,0.8148558758314854,0.79125
60,0.7964323189926548,0.8470982142857143,0.8209843158464034,0.793125
61,0.8019271948608137,0.8359375,0.8185792349726776,0.7925
62,0.8087141339001063,0.8493303571428571,0.828524768644529,0.803125
63,0.7972831765935214,0.8515625,0.8235294117647058,0.795625
64,0.8008474576271186,0.84375,0.8217391304347827,0.795
65,0.8,0.8303571428571429,0.8148959474260679,0.78875
66,0.8010695187165775,0.8359375,0.8181321682140906,0.791875
67,0.7924528301886793,0.84375,0.8172972972972973,0.78875
68,0.8090128755364807,0.8415178571428571,0.824945295404814,0.8
69,0.8084415584415584,0.8337053571428571,0.8208791208791208,0.79625
70,0.8062098501070664,0.8404017857142857,0.8229508196721311,0.7975
71,0.798708288482239,0.828125,0.8131506849315068,0.786875
72,0.8099891422366993,0.8325892857142857,0.8211337369290039,0.796875
73,0.7894736842105263,0.8370535714285714,0.8125677139761646,0.78375
74,0.8012752391073327,0.8415178571428571,0.8209036472509527,0.794375
75,0.8104008667388949,0.8348214285714286,0.822429906542056,0.798125
76,0.7997870074547391,0.8381696428571429,0.8185286103542234,0.791875
77,0.8116740088105727,0.8225446428571429,0.8170731707317075,0.79375
78,0.799140708915145,0.8303571428571429,0.8144499178981938,0.788125
79,0.7936170212765957,0.8325892857142857,0.812636165577342,0.785
80,0.8024017467248908,0.8203125,0.8112582781456954,0.78625
81,0.8044871794871795,0.8404017857142857,0.8220524017467249,0.79625
82,0.806243272335845,0.8359375,0.8208219178082192,0.795625
83,0.8083961248654468,0.8381696428571429,0.8230136986301371,0.798125
84,0.7966280295047419,0.84375,0.8195121951219513,0.791875
85,0.8032432432432433,0.8292410714285714,0.8160351455244371,0.790625
86,0.8055555555555556,0.8415178571428571,0.8231441048034934,0.7975
87,0.8150163220892275,0.8359375,0.8253443526170798,0.801875
88,0.8068669527896996,0.8392857142857143,0.8227571115973742,0.7975
89,0.8029818956336529,0.8415178571428571,0.8217983651226158,0.795625
90,0.8158179848320694,0.8404017857142857,0.827927432655305,0.804375
91,0.80083857442348,0.8526785714285714,0.825945945945946,0.79875
92,0.8062098501070664,0.8404017857142857,0.8229508196721311,0.7975
93,0.806243272335845,0.8359375,0.8208219178082192,0.795625
94,0.806695464362851,0.8337053571428571,0.8199780461031833,0.795
95,0.8098818474758325,0.8415178571428571,0.8253968253968252,0.800625
96,0.8097768331562167,0.8504464285714286,0.829613500272183,0.804375
97,0.79723991507431,0.8381696428571429,0.8171926006528837,0.79
98,0.8061767838125665,0.8448660714285714,0.8250681198910083,0.799375
99,0.8049040511727079,0.8426339285714286,0.8233369683751364,0.7975
100,0.8102508178844057,0.8292410714285714,0.8196359624931053,0.795625
101,0.8112798264642083,0.8348214285714286,0.8228822882288228,0.79875
102,0.8117647058823529,0.8470982142857143,0.8290551611141453,0.804375
103,0.8155021834061136,0.8337053571428571,0.8245033112582782,0.80125
104,0.8082788671023965,0.828125,0.8180815876515986,0.79375
105,0.81445523193096,0.8426339285714286,0.8283049917718047,0.804375
106,0.8154180238870793,0.8381696428571429,0.8266373142542653,0.803125
107,0.7993630573248408,0.8404017857142857,0.8193688792165397,0.7925
108,0.8125677139761647,0.8370535714285714,0.8246289169873557,0.800625
109,0.8118279569892473,0.8426339285714286,0.8269441401971522,0.8025
110,0.8091684434968017,0.8470982142857143,0.8276990185387132,0.8025
111,0.8153005464480875,0.8325892857142857,0.8238542241855329,0.800625
112,0.8038379530916845,0.8415178571428571,0.8222464558342422,0.79625
113,0.8102893890675241,0.84375,0.8266812465828323,0.801875
114,0.8055853920515574,0.8370535714285714,0.8210180623973727,0.795625
115,0.8108108108108109,0.8370535714285714,0.8237232289950578,0.799375
116,0.8085561497326204,0.84375,0.825778263244129,0.800625
117,0.8084415584415584,0.8337053571428571,0.8208791208791208,0.79625
118,0.81445523193096,0.8426339285714286,0.8283049917718047,0.804375
119,0.8068669527896996,0.8392857142857143,0.8227571115973742,0.7975
120,0.7991587802313355,0.8482142857142857,0.8229561451001624,0.795625
121,0.8083700440528634,0.8191964285714286,0.8137472283813747,0.79
122,0.8135048231511254,0.8470982142857143,0.8299617277200656,0.805625
123,0.8040904198062433,0.8337053571428571,0.8186301369863015,0.793125
124,0.8167028199566161,0.8404017857142857,0.8283828382838284,0.805
125,0.8233995584988962,0.8325892857142857,0.8279689234184241,0.80625
126,0.8074866310160428,0.8426339285714286,0.8246859639541235,0.799375
127,0.8006329113924051,0.8470982142857143,0.8232104121475055,0.79625
128,0.8166849615806806,0.8303571428571429,0.823464305478694,0.800625
129,0.8069620253164557,0.8537946428571429,0.8297180043383947,0.80375
130,0.8153005464480875,0.8325892857142857,0.8238542241855329,0.800625
131,0.8099260823653643,0.8560267857142857,0.8323385784047749,0.806875
132,0.8131041890440387,0.8448660714285714,0.8286808976464148,0.804375
133,0.80406852248394,0.8381696428571429,0.8207650273224044,0.795
134,0.8046958377801494,0.8415178571428571,0.8226950354609929,0.796875
135,0.8063829787234043,0.8459821428571429,0.8257080610021786,0.8
136,0.8106382978723404,0.8504464285714286,0.8300653594771242,0.805
137,0.8165038002171553,0.8392857142857143,0.8277380297193176,0.804375
138,0.805111821086262,0.84375,0.8239782016348774,0.798125
139,0.8205689277899344,0.8370535714285714,0.8287292817679558,0.80625
